code_ins;code_postal;commune_patient;nombre_de_séjours_par_comunne_patient;numéro_agrément_hôpital;dénomination;commune_hôpital;nombre_de_séjours_par_hôpital_comunne_patient;part_de_marché
11005;2850;Boom;3866;595;AZ Nikolaas;Saint-Nicolas (Flandre orientale);9;0.002328
11005;2850;Boom;3866;670;UZ Gent;Gand;25;0.0064666
11005;2850;Boom;3866;682;AZ Monica;Anvers;94;0.0243145
11005;2850;Boom;3866;689;Imelda Ziekenhuis;Bonheiden;29;0.0075013
11005;2850;Boom;3866;710;AZ Klina;Brasschaat;11;0.0028453
11007;2150;Borsbeek;2492;9;Ziekenhuisnetwerk Antwerpen;Anvers;514;0.20626
11007;2150;Borsbeek;2492;26;AZ Sint-Maarten;Malines;27;0.0108347
11007;2150;Borsbeek;2492;97;Heilig-Hartziekenhuis;Lierre;34;0.0136437
11007;2150;Borsbeek;2492;99;GZA ziekenhuizen;Anvers;604;0.2423756
11007;2150;Borsbeek;2492;104;AZ Rivierenland;Rumst;5;0.0020064
11007;2150;Borsbeek;2492;300;UZ Antwerpen;Edegem;187;0.0750401
11007;2150;Borsbeek;2492;314;AZ Rivierenland;Rumst;11;0.0044141
11007;2150;Borsbeek;2492;536;AZ Sint-Jozef Malle;Malle;6;0.0024077
11007;2150;Borsbeek;2492;595;AZ Nikolaas;Saint-Nicolas (Flandre orientale);5;0.0020064
11007;2150;Borsbeek;2492;670;UZ Gent;Gand;6;0.0024077
11007;2150;Borsbeek;2492;682;AZ Monica;Anvers;1052;0.4221509
11007;2150;Borsbeek;2492;710;AZ Klina;Brasschaat;14;0.005618
11007;2150;Borsbeek;2492;713;AZ Jan Palfijn Gent;Gand;5;0.0020064
11008;2930;Brasschaat;7581;9;Ziekenhuisnetwerk Antwerpen;Anvers;1015;0.1338873
11008;2930;Brasschaat;7581;26;AZ Sint-Maarten;Malines;30;0.0039573
11008;2930;Brasschaat;7581;63;AZ Turnhout;Turnhout;6;0.0007915
11008;2930;Brasschaat;7581;79;Institut Jules Bordet;Bruxelles;7;0.0009234
11008;2930;Brasschaat;7581;97;Heilig-Hartziekenhuis;Lierre;26;0.0034296
11008;2930;Brasschaat;7581;99;GZA ziekenhuizen;Anvers;621;0.0819153
11008;2930;Brasschaat;7581;143;UZ Brussel;Jette;49;0.0064635
11008;2930;Brasschaat;7581;300;UZ Antwerpen;Edegem;402;0.0530273
11008;2930;Brasschaat;7581;308;AZ Herentals;Herentals;5;0.0006595
11008;2930;Brasschaat;7581;314;AZ Rivierenland;Rumst;9;0.0011872
11008;2930;Brasschaat;7581;322;UZ Leuven;Louvain;90;0.0118718
11008;2930;Brasschaat;7581;392;AZ Zeno;Knokke-Heist;5;0.0006595
11008;2930;Brasschaat;7581;536;AZ Sint-Jozef Malle;Malle;140;0.0184672
11008;2930;Brasschaat;7581;595;AZ Nikolaas;Saint-Nicolas (Flandre orientale);22;0.002902
11008;2930;Brasschaat;7581;670;UZ Gent;Gand;21;0.0027701
11008;2930;Brasschaat;7581;682;AZ Monica;Anvers;436;0.0575122
11008;2930;Brasschaat;7581;710;AZ Klina;Brasschaat;4661;0.6148265
11009;2960;Brecht;5881;9;Ziekenhuisnetwerk Antwerpen;Anvers;780;0.1326305
11009;2960;Brecht;5881;26;AZ Sint-Maarten;Malines;18;0.0030607
11009;2960;Brecht;5881;63;AZ Turnhout;Turnhout;163;0.0277164
11009;2960;Brecht;5881;97;Heilig-Hartziekenhuis;Lierre;16;0.0027206
11009;2960;Brecht;5881;99;GZA ziekenhuizen;Anvers;316;0.0537324
11009;2960;Brecht;5881;104;AZ Rivierenland;Rumst;5;0.0008502
11009;2960;Brecht;5881;108;RZ Heilig Hart;Louvain;7;0.0011903
11009;2960;Brecht;5881;143;UZ Brussel;Jette;8;0.0013603
11009;2960;Brecht;5881;243;Jessa Ziekenhuis;Hasselt;13;0.0022105
11009;2960;Brecht;5881;300;UZ Antwerpen;Edegem;307;0.052202
11009;2960;Brecht;5881;308;AZ Herentals;Herentals;11;0.0018704
11009;2960;Brecht;5881;314;AZ Rivierenland;Rumst;5;0.0008502
11009;2960;Brecht;5881;322;UZ Leuven;Louvain;96;0.0163238
11009;2960;Brecht;5881;536;AZ Sint-Jozef Malle;Malle;2433;0.4137052
11009;2960;Brecht;5881;595;AZ Nikolaas;Saint-Nicolas (Flandre orientale);7;0.0011903
11009;2960;Brecht;5881;670;UZ Gent;Gand;10;0.0017004
11009;2960;Brecht;5881;682;AZ Monica;Anvers;452;0.0768577
11009;2960;Brecht;5881;689;Imelda Ziekenhuis;Bonheiden;5;0.0008502
11009;2960;Brecht;5881;710;AZ Klina;Brasschaat;1189;0.2021765
11009;2960;Brecht;5881;713;AZ Jan Palfijn Gent;Gand;6;0.0010202
11013;2650;Edegem;4460;9;Ziekenhuisnetwerk Antwerpen;Anvers;762;0.170852
11013;2650;Edegem;4460;26;AZ Sint-Maarten;Malines;86;0.0192825
11013;2650;Edegem;4460;63;AZ Turnhout;Turnhout;22;0.0049327
11013;2650;Edegem;4460;97;Heilig-Hartziekenhuis;Lierre;29;0.0065022
11013;2650;Edegem;4460;99;GZA ziekenhuizen;Anvers;2055;0.4607623
11013;2650;Edegem;4460;104;AZ Rivierenland;Rumst;13;0.0029148
11013;2650;Edegem;4460;143;UZ Brussel;Jette;24;0.0053812
11013;2650;Edegem;4460;265;AZ Lokeren;Lokeren;16;0.0035874
11013;2650;Edegem;4460;300;UZ Antwerpen;Edegem;907;0.2033632
11013;2650;Edegem;4460;314;AZ Rivierenland;Rumst;124;0.0278027
11013;2650;Edegem;4460;322;UZ Leuven;Louvain;19;0.0042601
11013;2650;Edegem;4460;536;AZ Sint-Jozef Malle;Malle;6;0.0013453
11013;2650;Edegem;4460;595;AZ Nikolaas;Saint-Nicolas (Flandre orientale);6;0.0013453
11013;2650;Edegem;4460;682;AZ Monica;Anvers;306;0.0686099
11013;2650;Edegem;4460;689;Imelda Ziekenhuis;Bonheiden;9;0.0020179
11013;2650;Edegem;4460;710;AZ Klina;Brasschaat;25;0.0056054
11016;2910;Essen;3137;9;Ziekenhuisnetwerk Antwerpen;Anvers;456;0.1453618
11016;2910;Essen;3137;26;AZ Sint-Maarten;Malines;8;0.0025502
11016;2910;Essen;3137;99;GZA ziekenhuizen;Anvers;140;0.0446286
11016;2910;Essen;3137;143;UZ Brussel;Jette;9;0.002869
11016;2910;Essen;3137;300;UZ Antwerpen;Edegem;129;0.0411221
11016;2910;Essen;3137;322;UZ Leuven;Louvain;85;0.027096
11016;2910;Essen;3137;536;AZ Sint-Jozef Malle;Malle;259;0.082563
11016;2910;Essen;3137;595;AZ Nikolaas;Saint-Nicolas (Flandre orientale);29;0.0092445
11016;2910;Essen;3137;670;UZ Gent;Gand;14;0.0044629
11016;2910;Essen;3137;682;AZ Monica;Anvers;156;0.049729
11016;2910;Essen;3137;710;AZ Klina;Brasschaat;1821;0.5804909
11018;2620;Hemiksem;2264;9;Ziekenhuisnetwerk Antwerpen;Anvers;431;0.190371
11018;2620;Hemiksem;2264;26;AZ Sint-Maarten;Malines;18;0.0079505
11018;2620;Hemiksem;2264;99;GZA ziekenhuizen;Anvers;373;0.1647527
11018;2620;Hemiksem;2264;104;AZ Rivierenland;Rumst;28;0.0123675
11018;2620;Hemiksem;2264;143;UZ Brussel;Jette;10;0.004417
11018;2620;Hemiksem;2264;300;UZ Antwerpen;Edegem;331;0.1462014
11018;2620;Hemiksem;2264;314;AZ Rivierenland;Rumst;841;0.3714664
11018;2620;Hemiksem;2264;322;UZ Leuven;Louvain;31;0.0136926
11018;2620;Hemiksem;2264;595;AZ Nikolaas;Saint-Nicolas (Flandre orientale);29;0.0128092
11018;2620;Hemiksem;2264;682;AZ Monica;Anvers;134;0.0591873
11018;2620;Hemiksem;2264;710;AZ Klina;Brasschaat;17;0.0075088
11021;2540;Hove;1736;9;Ziekenhuisnetwerk Antwerpen;Anvers;174;0.1002304
11021;2540;Hove;1736;26;AZ Sint-Maarten;Malines;56;0.0322581
11021;2540;Hove;1736;97;Heilig-Hartziekenhuis;Lierre;46;0.0264977
11021;2540;Hove;1736;99;GZA ziekenhuizen;Anvers;871;0.5017281
11021;2540;Hove;1736;108;RZ Heilig Hart;Louvain;8;0.0046083
11021;2540;Hove;1736;300;UZ Antwerpen;Edegem;313;0.1802995
11021;2540;Hove;1736;314;AZ Rivierenland;Rumst;28;0.016129
11021;2540;Hove;1736;322;UZ Leuven;Louvain;45;0.0259217
11021;2540;Hove;1736;595;AZ Nikolaas;Saint-Nicolas (Flandre orientale);5;0.0028802
11021;2540;Hove;1736;670;UZ Gent;Gand;14;0.0080645
11021;2540;Hove;1736;682;AZ Monica;Anvers;129;0.0743088
11021;2540;Hove;1736;689;Imelda Ziekenhuis;Bonheiden;17;0.0097926
11022;2920;Kalmthout;3207;9;Ziekenhuisnetwerk Antwerpen;Anvers;369;0.1150608
11022;2920;Kalmthout;3207;63;AZ Turnhout;Turnhout;11;0.00343
11022;2920;Kalmthout;3207;97;Heilig-Hartziekenhuis;Lierre;14;0.0043655
11022;2920;Kalmthout;3207;99;GZA ziekenhuizen;Anvers;254;0.0792017
11022;2920;Kalmthout;3207;126;Onze-Lieve-Vrouwziekenhuis;Alost (Flandre orientale);7;0.0021827
11022;2920;Kalmthout;3207;143;UZ Brussel;Jette;9;0.0028064
11022;2920;Kalmthout;3207;243;Jessa Ziekenhuis;Hasselt;17;0.0053009
11022;2920;Kalmthout;3207;300;UZ Antwerpen;Edegem;268;0.0835672
11022;2920;Kalmthout;3207;314;AZ Rivierenland;Rumst;8;0.0024945
11022;2920;Kalmthout;3207;322;UZ Leuven;Louvain;48;0.0149673
11022;2920;Kalmthout;3207;536;AZ Sint-Jozef Malle;Malle;178;0.0555036
11022;2920;Kalmthout;3207;595;AZ Nikolaas;Saint-Nicolas (Flandre orientale);7;0.0021827
11022;2920;Kalmthout;3207;670;UZ Gent;Gand;5;0.0015591
11022;2920;Kalmthout;3207;682;AZ Monica;Anvers;162;0.0505145
11022;2920;Kalmthout;3207;710;AZ Klina;Brasschaat;1817;0.5665731
11023;2950;Kapellen (Anvers);4835;9;Ziekenhuisnetwerk Antwerpen;Anvers;876;0.1811789
11023;2950;Kapellen (Anvers);4835;26;AZ Sint-Maarten;Malines;7;0.0014478
11023;2950;Kapellen (Anvers);4835;63;AZ Turnhout;Turnhout;6;0.001241
11023;2950;Kapellen (Anvers);4835;97;Heilig-Hartziekenhuis;Lierre;7;0.0014478
11023;2950;Kapellen (Anvers);4835;99;GZA ziekenhuizen;Anvers;417;0.0862461
11023;2950;Kapellen (Anvers);4835;143;UZ Brussel;Jette;26;0.0053775
11023;2950;Kapellen (Anvers);4835;300;UZ Antwerpen;Edegem;311;0.0643226
11023;2950;Kapellen (Anvers);4835;314;AZ Rivierenland;Rumst;8;0.0016546
11023;2950;Kapellen (Anvers);4835;322;UZ Leuven;Louvain;40;0.008273
11023;2950;Kapellen (Anvers);4835;536;AZ Sint-Jozef Malle;Malle;38;0.0078594
11023;2950;Kapellen (Anvers);4835;595;AZ Nikolaas;Saint-Nicolas (Flandre orientale);31;0.0064116
11023;2950;Kapellen (Anvers);4835;670;UZ Gent;Gand;13;0.0026887
11023;2950;Kapellen (Anvers);4835;682;AZ Monica;Anvers;358;0.0740434
11023;2950;Kapellen (Anvers);4835;710;AZ Klina;Brasschaat;2663;0.5507756
11024;2550;Kontich;4470;9;Ziekenhuisnetwerk Antwerpen;Anvers;471;0.1053691
11024;2550;Kontich;4470;26;AZ Sint-Maarten;Malines;538;0.1203579
11024;2550;Kontich;4470;49;AZ Sint-Jan Brugge - Oostende;Bruges;15;0.0033557
11024;2550;Kontich;4470;97;Heilig-Hartziekenhuis;Lierre;129;0.0288591
11024;2550;Kontich;4470;99;GZA ziekenhuizen;Anvers;1698;0.3798658
11024;2550;Kontich;4470;104;AZ Rivierenland;Rumst;25;0.0055928
11024;2550;Kontich;4470;143;UZ Brussel;Jette;33;0.0073826
11024;2550;Kontich;4470;204;AZ Jan Portaels;Vilvorde;7;0.001566
11024;2550;Kontich;4470;300;UZ Antwerpen;Edegem;769;0.1720358
11024;2550;Kontich;4470;314;AZ Rivierenland;Rumst;289;0.0646532
11024;2550;Kontich;4470;322;UZ Leuven;Louvain;81;0.0181208
11024;2550;Kontich;4470;595;AZ Nikolaas;Saint-Nicolas (Flandre orientale);18;0.0040268
11024;2550;Kontich;4470;670;UZ Gent;Gand;11;0.0024609
11024;2550;Kontich;4470;682;AZ Monica;Anvers;268;0.0599553
11024;2550;Kontich;4470;689;Imelda Ziekenhuis;Bonheiden;51;0.0114094
11024;2550;Kontich;4470;710;AZ Klina;Brasschaat;25;0.0055928
11025;2547;Lint;1821;9;Ziekenhuisnetwerk Antwerpen;Anvers;137;0.0752334
11025;2547;Lint;1821;26;AZ Sint-Maarten;Malines;513;0.2817133
11025;2547;Lint;1821;97;Heilig-Hartziekenhuis;Lierre;238;0.1306974
11025;2547;Lint;1821;99;GZA ziekenhuizen;Anvers;382;0.2097748
11025;2547;Lint;1821;300;UZ Antwerpen;Edegem;284;0.1559583
11025;2547;Lint;1821;314;AZ Rivierenland;Rumst;30;0.0164745
11025;2547;Lint;1821;322;UZ Leuven;Louvain;71;0.0389896
11025;2547;Lint;1821;595;AZ Nikolaas;Saint-Nicolas (Flandre orientale);5;0.0027457
11025;2547;Lint;1821;682;AZ Monica;Anvers;83;0.0455794
11025;2547;Lint;1821;689;Imelda Ziekenhuis;Bonheiden;47;0.02581
11029;2640;Mortsel;4840;9;Ziekenhuisnetwerk Antwerpen;Anvers;883;0.182438
11029;2640;Mortsel;4840;26;AZ Sint-Maarten;Malines;62;0.0128099
11029;2640;Mortsel;4840;63;AZ Turnhout;Turnhout;5;0.0010331
11029;2640;Mortsel;4840;87;Hôpitaux Iris Sud;Etterbeek;7;0.0014463
11029;2640;Mortsel;4840;97;Heilig-Hartziekenhuis;Lierre;64;0.0132231
11029;2640;Mortsel;4840;99;GZA ziekenhuizen;Anvers;2699;0.5576446
11029;2640;Mortsel;4840;108;RZ Heilig Hart;Louvain;10;0.0020661
11029;2640;Mortsel;4840;143;UZ Brussel;Jette;18;0.003719
11029;2640;Mortsel;4840;243;Jessa Ziekenhuis;Hasselt;5;0.0010331
11029;2640;Mortsel;4840;300;UZ Antwerpen;Edegem;504;0.1041322
11029;2640;Mortsel;4840;314;AZ Rivierenland;Rumst;57;0.0117769
11029;2640;Mortsel;4840;322;UZ Leuven;Louvain;46;0.0095041
11029;2640;Mortsel;4840;371;Ziekenhuis Oost-Limburg;Genk;5;0.0010331
11029;2640;Mortsel;4840;403;Cliniques universitaires Saint-Luc;Woluwe-Saint-Lambert;19;0.0039256
11029;2640;Mortsel;4840;536;AZ Sint-Jozef Malle;Malle;6;0.0012397
11029;2640;Mortsel;4840;595;AZ Nikolaas;Saint-Nicolas (Flandre orientale);14;0.0028926
11029;2640;Mortsel;4840;682;AZ Monica;Anvers;366;0.0756198
11029;2640;Mortsel;4840;689;Imelda Ziekenhuis;Bonheiden;6;0.0012397
11029;2640;Mortsel;4840;710;AZ Klina;Brasschaat;18;0.003719
11029;2640;Mortsel;4840;713;AZ Jan Palfijn Gent;Gand;9;0.0018595
11030;2845;Niel;2315;9;Ziekenhuisnetwerk Antwerpen;Anvers;213;0.0920086
11030;2845;Niel;2315;12;AZ Sint-Blasius;Termonde;6;0.0025918
11030;2845;Niel;2315;26;AZ Sint-Maarten;Malines;78;0.0336933
11030;2845;Niel;2315;99;GZA ziekenhuizen;Anvers;358;0.1546436
11030;2845;Niel;2315;104;AZ Rivierenland;Rumst;58;0.025054
11030;2845;Niel;2315;143;UZ Brussel;Jette;13;0.0056156
11030;2845;Niel;2315;204;AZ Jan Portaels;Vilvorde;6;0.0025918
11030;2845;Niel;2315;300;UZ Antwerpen;Edegem;271;0.1170626
11030;2845;Niel;2315;314;AZ Rivierenland;Rumst;1165;0.5032397
11030;2845;Niel;2315;322;UZ Leuven;Louvain;15;0.0064795
11030;2845;Niel;2315;595;AZ Nikolaas;Saint-Nicolas (Flandre orientale);16;0.0069114
11030;2845;Niel;2315;682;AZ Monica;Anvers;79;0.0341253
11030;2845;Niel;2315;689;Imelda Ziekenhuis;Bonheiden;8;0.0034557
11030;2845;Niel;2315;710;AZ Klina;Brasschaat;6;0.0025918
11035;2520;Ranst;3975;9;Ziekenhuisnetwerk Antwerpen;Anvers;427;0.1074214
11035;2520;Ranst;3975;26;AZ Sint-Maarten;Malines;151;0.0379874
11035;2520;Ranst;3975;63;AZ Turnhout;Turnhout;22;0.0055346
11035;2520;Ranst;3975;97;Heilig-Hartziekenhuis;Lierre;1218;0.3064151
11035;2520;Ranst;3975;99;GZA ziekenhuizen;Anvers;321;0.0807547
11035;2520;Ranst;3975;104;AZ Rivierenland;Rumst;7;0.001761
11035;2520;Ranst;3975;108;RZ Heilig Hart;Louvain;14;0.003522
11035;2520;Ranst;3975;143;UZ Brussel;Jette;6;0.0015094
11035;2520;Ranst;3975;300;UZ Antwerpen;Edegem;372;0.0935849
11035;2520;Ranst;3975;308;AZ Herentals;Herentals;32;0.0080503
11035;2520;Ranst;3975;314;AZ Rivierenland;Rumst;12;0.0030189
11035;2520;Ranst;3975;322;UZ Leuven;Louvain;81;0.0203774
11035;2520;Ranst;3975;536;AZ Sint-Jozef Malle;Malle;439;0.1104403
11035;2520;Ranst;3975;595;AZ Nikolaas;Saint-Nicolas (Flandre orientale);11;0.0027673
11035;2520;Ranst;3975;670;UZ Gent;Gand;5;0.0012579
11035;2520;Ranst;3975;682;AZ Monica;Anvers;676;0.1700629
11035;2520;Ranst;3975;689;Imelda Ziekenhuis;Bonheiden;16;0.0040252
11035;2520;Ranst;3975;710;AZ Klina;Brasschaat;137;0.0344654
11037;2840;Rumst;3341;9;Ziekenhuisnetwerk Antwerpen;Anvers;261;0.0781203
11037;2840;Rumst;3341;26;AZ Sint-Maarten;Malines;400;0.1197246
11037;2840;Rumst;3341;97;Heilig-Hartziekenhuis;Lierre;57;0.0170608
11037;2840;Rumst;3341;99;GZA ziekenhuizen;Anvers;413;0.1236157
11037;2840;Rumst;3341;104;AZ Rivierenland;Rumst;81;0.0242442
11037;2840;Rumst;3341;143;UZ Brussel;Jette;9;0.0026938
11037;2840;Rumst;3341;204;AZ Jan Portaels;Vilvorde;6;0.0017959
11037;2840;Rumst;3341;300;UZ Antwerpen;Edegem;387;0.1158336
11037;2840;Rumst;3341;314;AZ Rivierenland;Rumst;1445;0.4325052
11037;2840;Rumst;3341;322;UZ Leuven;Louvain;61;0.018258
11037;2840;Rumst;3341;595;AZ Nikolaas;Saint-Nicolas (Flandre orientale);11;0.0032924
11037;2840;Rumst;3341;682;AZ Monica;Anvers;94;0.0281353
11037;2840;Rumst;3341;689;Imelda Ziekenhuis;Bonheiden;70;0.0209518
11037;2840;Rumst;3341;710;AZ Klina;Brasschaat;10;0.0029931
11038;2627;Schelle;2114;9;Ziekenhuisnetwerk Antwerpen;Anvers;278;0.1315043
11038;2627;Schelle;2114;26;AZ Sint-Maarten;Malines;24;0.0113529
11038;2627;Schelle;2114;97;Heilig-Hartziekenhuis;Lierre;13;0.0061495
