nis_code_patiënt;postcode_patiënt;gemeente_patiënt;aantal_verblijven_per_gemeente;erkenningsnummer_ziekenhuis;naam_ziekenhuis;gemeente_ziekenhuis;aantal_verblijven_per_ziekenhuis_gemeente_patient;marktaandeel
11002;2000;Antwerpen;64190;322;UZ Leuven;Leuven;955;0.0148777
11002;2000;Antwerpen;64190;332;CHIREC - Delta Ziekenhuis;Oudergem;43;0.0006699
11002;2000;Antwerpen;64190;371;Ziekenhuis Oost-Limburg;Genk;37;0.0005764
11002;2000;Antwerpen;64190;392;AZ Zeno;Knokke-Heist;58;0.0009036
11002;2000;Antwerpen;64190;395;Sint-Andriesziekenhuis;Tielt (West-Vlaanderen);6;9.35e-05
11002;2000;Antwerpen;64190;396;AZ Groeninge;Kortrijk;19;0.000296
11002;2000;Antwerpen;64190;397;OLV van Lourdes Ziekenhuis Waregem;Waregem;9;0.0001402
11002;2000;Antwerpen;64190;403;Cliniques universitaires Saint-Luc;Sint-Lambrechts-Woluwe;83;0.001293
11002;2000;Antwerpen;64190;406;Cliniques Universitaires de Bruxelles - Erasmus Ziekenhuis;Anderlecht;23;0.0003583
11002;2000;Antwerpen;64190;412;CHR de la Citadelle;Luik;5;7.79e-05
11002;2000;Antwerpen;64190;525;AZ Damiaan;Oostende;20;0.0003116
11002;2000;Antwerpen;64190;536;AZ Voorkempen;Malle;276;0.0042997
11002;2000;Antwerpen;64190;595;AZ Nikolaas;Sint-Niklaas (Oost-Vlaanderen);217;0.0033806
11002;2000;Antwerpen;64190;670;UZ Gent;Gent;291;0.0045334
11002;2000;Antwerpen;64190;682;AZ Monica;Antwerpen;8853;0.1379187
11002;2000;Antwerpen;64190;689;Imelda Ziekenhuis;Bonheiden;100;0.0015579
11002;2000;Antwerpen;64190;709;Ziekenhuis Geel;Geel;65;0.0010126
11002;2000;Antwerpen;64190;710;AZ Klina;Brasschaat;2444;0.0380745
11002;2000;Antwerpen;64190;712;AZ Diest;Diest;16;0.0002493
11002;2000;Antwerpen;64190;713;AZ Jan Palfijn;Gent;19;0.000296
11002;2000;Antwerpen;64190;714;Sint-Franciscus Ziekenhuis;Heusden-Zolder;14;0.0002181
11002;2000;Antwerpen;64190;715;Sint-Trudo Ziekenhuis;Sint-Truiden;7;0.0001091
11002;2000;Antwerpen;64190;716;AZ Vesalius;Tongeren;5;7.79e-05
11002;2000;Antwerpen;64190;718;CHU Charleroi - Hôpital Civil Marie Curie;Charleroi;6;9.35e-05
11002;2000;Antwerpen;64190;719;Noorderhart - Mariaziekenhuis;Pelt;9;0.0001402
11002;2000;Antwerpen;64190;723;Centre Hospitalier Interrégional Édith Cavell;Anderlecht;10;0.0001558
11004;2530;Boechout;1509;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;143;0.0947647
11004;2530;Boechout;1509;26;AZ Sint-Maarten;Mechelen;26;0.01723
11004;2530;Boechout;1509;97;Heilig Hart Ziekenhuis - Lier;Lier;332;0.2200133
11004;2530;Boechout;1509;99;GZA ziekenhuizen;Antwerpen;564;0.3737575
11004;2530;Boechout;1509;104;AZ Rivierenland;Rumst;10;0.0066269
11004;2530;Boechout;1509;126;Onze-Lieve-Vrouw Ziekenhuis;Aalst (Oost-Vlaanderen);8;0.0053015
11004;2530;Boechout;1509;300;UZ Antwerpen;Edegem;219;0.1451292
11004;2530;Boechout;1509;322;UZ Leuven;Leuven;15;0.0099404
11004;2530;Boechout;1509;392;AZ Zeno;Knokke-Heist;5;0.0033135
11004;2530;Boechout;1509;536;AZ Voorkempen;Malle;10;0.0066269
11004;2530;Boechout;1509;682;AZ Monica;Antwerpen;131;0.0868125
11004;2530;Boechout;1509;689;Imelda Ziekenhuis;Bonheiden;10;0.0066269
11004;2530;Boechout;1509;710;AZ Klina;Brasschaat;8;0.0053015
11005;2850;Boom;2309;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;217;0.0939801
11005;2850;Boom;2309;26;AZ Sint-Maarten;Mechelen;58;0.0251191
11005;2850;Boom;2309;77;UVC Brugmann;Brussel;6;0.0025985
11005;2850;Boom;2309;79;Jules Bordet Instituut;Brussel;10;0.0043309
11005;2850;Boom;2309;97;Heilig Hart Ziekenhuis - Lier;Lier;10;0.0043309
11005;2850;Boom;2309;99;GZA ziekenhuizen;Antwerpen;252;0.1091382
11005;2850;Boom;2309;104;AZ Rivierenland;Rumst;1172;0.507579
11005;2850;Boom;2309;126;Onze-Lieve-Vrouw Ziekenhuis;Aalst (Oost-Vlaanderen);6;0.0025985
11005;2850;Boom;2309;143;UZ Brussel;Jette;25;0.0108272
11005;2850;Boom;2309;300;UZ Antwerpen;Edegem;412;0.1784322
11005;2850;Boom;2309;322;UZ Leuven;Leuven;29;0.0125595
11005;2850;Boom;2309;595;AZ Nikolaas;Sint-Niklaas (Oost-Vlaanderen);12;0.0051971
11005;2850;Boom;2309;670;UZ Gent;Gent;10;0.0043309
11005;2850;Boom;2309;682;AZ Monica;Antwerpen;33;0.0142919
11005;2850;Boom;2309;689;Imelda Ziekenhuis;Bonheiden;12;0.0051971
11005;2850;Boom;2309;710;AZ Klina;Brasschaat;8;0.0034647
11007;2150;Borsbeek;1404;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;260;0.1851852
11007;2150;Borsbeek;1404;26;AZ Sint-Maarten;Mechelen;6;0.0042735
11007;2150;Borsbeek;1404;97;Heilig Hart Ziekenhuis - Lier;Lier;18;0.0128205
11007;2150;Borsbeek;1404;99;GZA ziekenhuizen;Antwerpen;247;0.1759259
11007;2150;Borsbeek;1404;300;UZ Antwerpen;Edegem;184;0.1310541
11007;2150;Borsbeek;1404;322;UZ Leuven;Leuven;19;0.0135328
11007;2150;Borsbeek;1404;682;AZ Monica;Antwerpen;631;0.4494302
11007;2150;Borsbeek;1404;710;AZ Klina;Brasschaat;9;0.0064103
11008;2930;Brasschaat;4905;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;477;0.0972477
11008;2930;Brasschaat;4905;26;AZ Sint-Maarten;Mechelen;7;0.0014271
11008;2930;Brasschaat;4905;32;AZ Alma;Eeklo;6;0.0012232
11008;2930;Brasschaat;4905;63;AZ Turnhout;Turnhout;5;0.0010194
11008;2930;Brasschaat;4905;97;Heilig Hart Ziekenhuis - Lier;Lier;5;0.0010194
11008;2930;Brasschaat;4905;99;GZA ziekenhuizen;Antwerpen;173;0.0352701
11008;2930;Brasschaat;4905;104;AZ Rivierenland;Rumst;6;0.0012232
11008;2930;Brasschaat;4905;126;Onze-Lieve-Vrouw Ziekenhuis;Aalst (Oost-Vlaanderen);12;0.0024465
11008;2930;Brasschaat;4905;143;UZ Brussel;Jette;9;0.0018349
11008;2930;Brasschaat;4905;300;UZ Antwerpen;Edegem;546;0.111315
11008;2930;Brasschaat;4905;308;AZ Herentals;Herentals;7;0.0014271
11008;2930;Brasschaat;4905;322;UZ Leuven;Leuven;58;0.0118247
11008;2930;Brasschaat;4905;371;Ziekenhuis Oost-Limburg;Genk;7;0.0014271
11008;2930;Brasschaat;4905;536;AZ Voorkempen;Malle;124;0.0252803
11008;2930;Brasschaat;4905;595;AZ Nikolaas;Sint-Niklaas (Oost-Vlaanderen);13;0.0026504
11008;2930;Brasschaat;4905;670;UZ Gent;Gent;23;0.0046891
11008;2930;Brasschaat;4905;682;AZ Monica;Antwerpen;165;0.0336391
11008;2930;Brasschaat;4905;689;Imelda Ziekenhuis;Bonheiden;15;0.0030581
11008;2930;Brasschaat;4905;710;AZ Klina;Brasschaat;3209;0.6542304
11009;2960;Brecht;4026;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;342;0.0849478
11009;2960;Brecht;4026;26;AZ Sint-Maarten;Mechelen;7;0.0017387
11009;2960;Brecht;4026;49;AZ Sint-Jan Brugge - Oostende;Brugge;6;0.0014903
11009;2960;Brecht;4026;63;AZ Turnhout;Turnhout;115;0.0285643
11009;2960;Brecht;4026;97;Heilig Hart Ziekenhuis - Lier;Lier;18;0.0044709
11009;2960;Brecht;4026;99;GZA ziekenhuizen;Antwerpen;186;0.0461997
11009;2960;Brecht;4026;143;UZ Brussel;Jette;7;0.0017387
11009;2960;Brecht;4026;300;UZ Antwerpen;Edegem;296;0.0735221
11009;2960;Brecht;4026;322;UZ Leuven;Leuven;66;0.0163934
11009;2960;Brecht;4026;392;AZ Zeno;Knokke-Heist;5;0.0012419
11009;2960;Brecht;4026;536;AZ Voorkempen;Malle;1801;0.4473423
11009;2960;Brecht;4026;595;AZ Nikolaas;Sint-Niklaas (Oost-Vlaanderen);16;0.0039742
11009;2960;Brecht;4026;670;UZ Gent;Gent;17;0.0042226
11009;2960;Brecht;4026;682;AZ Monica;Antwerpen;184;0.0457029
11009;2960;Brecht;4026;709;Ziekenhuis Geel;Geel;5;0.0012419
11009;2960;Brecht;4026;710;AZ Klina;Brasschaat;903;0.2242921
11013;2650;Edegem;2956;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;413;0.1397158
11013;2650;Edegem;2956;26;AZ Sint-Maarten;Mechelen;19;0.0064276
11013;2650;Edegem;2956;97;Heilig Hart Ziekenhuis - Lier;Lier;32;0.0108254
11013;2650;Edegem;2956;99;GZA ziekenhuizen;Antwerpen;1270;0.4296346
11013;2650;Edegem;2956;104;AZ Rivierenland;Rumst;21;0.0071042
11013;2650;Edegem;2956;143;UZ Brussel;Jette;6;0.0020298
11013;2650;Edegem;2956;300;UZ Antwerpen;Edegem;967;0.3271313
11013;2650;Edegem;2956;322;UZ Leuven;Leuven;46;0.0155616
11013;2650;Edegem;2956;392;AZ Zeno;Knokke-Heist;6;0.0020298
11013;2650;Edegem;2956;670;UZ Gent;Gent;12;0.0040595
11013;2650;Edegem;2956;682;AZ Monica;Antwerpen;105;0.035521
11013;2650;Edegem;2956;709;Ziekenhuis Geel;Geel;5;0.0016915
11013;2650;Edegem;2956;710;AZ Klina;Brasschaat;13;0.0043978
11016;2910;Essen;2197;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;197;0.0896677
11016;2910;Essen;2197;63;AZ Turnhout;Turnhout;12;0.005462
11016;2910;Essen;2197;99;GZA ziekenhuizen;Antwerpen;55;0.0250341
11016;2910;Essen;2197;243;Jessa Ziekenhuis;Hasselt;6;0.002731
11016;2910;Essen;2197;300;UZ Antwerpen;Edegem;222;0.1010469
11016;2910;Essen;2197;322;UZ Leuven;Leuven;35;0.0159308
11016;2910;Essen;2197;536;AZ Voorkempen;Malle;152;0.0691853
11016;2910;Essen;2197;595;AZ Nikolaas;Sint-Niklaas (Oost-Vlaanderen);5;0.0022758
11016;2910;Essen;2197;670;UZ Gent;Gent;7;0.0031862
11016;2910;Essen;2197;682;AZ Monica;Antwerpen;91;0.0414201
11016;2910;Essen;2197;710;AZ Klina;Brasschaat;1381;0.6285844
11018;2620;Hemiksem;1493;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;269;0.1801741
11018;2620;Hemiksem;1493;26;AZ Sint-Maarten;Mechelen;8;0.0053583
11018;2620;Hemiksem;1493;63;AZ Turnhout;Turnhout;6;0.0040188
11018;2620;Hemiksem;1493;99;GZA ziekenhuizen;Antwerpen;321;0.2150033
11018;2620;Hemiksem;1493;104;AZ Rivierenland;Rumst;439;0.2940388
11018;2620;Hemiksem;1493;300;UZ Antwerpen;Edegem;350;0.2344273
11018;2620;Hemiksem;1493;322;UZ Leuven;Leuven;8;0.0053583
11018;2620;Hemiksem;1493;670;UZ Gent;Gent;7;0.0046885
11018;2620;Hemiksem;1493;682;AZ Monica;Antwerpen;42;0.0281313
11018;2620;Hemiksem;1493;710;AZ Klina;Brasschaat;7;0.0046885
11021;2540;Hove;919;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;97;0.1055495
11021;2540;Hove;919;26;AZ Sint-Maarten;Mechelen;11;0.0119695
11021;2540;Hove;919;97;Heilig Hart Ziekenhuis - Lier;Lier;35;0.0380849
11021;2540;Hove;919;99;GZA ziekenhuizen;Antwerpen;466;0.5070729
11021;2540;Hove;919;300;UZ Antwerpen;Edegem;214;0.2328618
11021;2540;Hove;919;322;UZ Leuven;Leuven;13;0.0141458
11021;2540;Hove;919;595;AZ Nikolaas;Sint-Niklaas (Oost-Vlaanderen);5;0.0054407
11021;2540;Hove;919;682;AZ Monica;Antwerpen;47;0.0511425
11021;2540;Hove;919;710;AZ Klina;Brasschaat;5;0.0054407
11022;2920;Kalmthout;2186;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;230;0.105215
11022;2920;Kalmthout;2186;63;AZ Turnhout;Turnhout;7;0.0032022
11022;2920;Kalmthout;2186;97;Heilig Hart Ziekenhuis - Lier;Lier;6;0.0027447
11022;2920;Kalmthout;2186;99;GZA ziekenhuizen;Antwerpen;52;0.0237877
11022;2920;Kalmthout;2186;300;UZ Antwerpen;Edegem;259;0.1184812
11022;2920;Kalmthout;2186;322;UZ Leuven;Leuven;36;0.0164684
11022;2920;Kalmthout;2186;536;AZ Voorkempen;Malle;122;0.0558097
11022;2920;Kalmthout;2186;670;UZ Gent;Gent;10;0.0045746
11022;2920;Kalmthout;2186;682;AZ Monica;Antwerpen;57;0.026075
11022;2920;Kalmthout;2186;710;AZ Klina;Brasschaat;1365;0.6244282
11023;2950;Kapellen (Antwerpen);3285;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;516;0.1570776
11023;2950;Kapellen (Antwerpen);3285;97;Heilig Hart Ziekenhuis - Lier;Lier;7;0.0021309
11023;2950;Kapellen (Antwerpen);3285;99;GZA ziekenhuizen;Antwerpen;121;0.0368341
11023;2950;Kapellen (Antwerpen);3285;143;UZ Brussel;Jette;7;0.0021309
11023;2950;Kapellen (Antwerpen);3285;300;UZ Antwerpen;Edegem;338;0.1028919
11023;2950;Kapellen (Antwerpen);3285;322;UZ Leuven;Leuven;50;0.0152207
11023;2950;Kapellen (Antwerpen);3285;392;AZ Zeno;Knokke-Heist;7;0.0021309
11023;2950;Kapellen (Antwerpen);3285;536;AZ Voorkempen;Malle;41;0.012481
11023;2950;Kapellen (Antwerpen);3285;595;AZ Nikolaas;Sint-Niklaas (Oost-Vlaanderen);10;0.0030441
11023;2950;Kapellen (Antwerpen);3285;670;UZ Gent;Gent;12;0.003653
11023;2950;Kapellen (Antwerpen);3285;682;AZ Monica;Antwerpen;122;0.0371385
11023;2950;Kapellen (Antwerpen);3285;689;Imelda Ziekenhuis;Bonheiden;9;0.0027397
11023;2950;Kapellen (Antwerpen);3285;709;Ziekenhuis Geel;Geel;9;0.0027397
11023;2950;Kapellen (Antwerpen);3285;710;AZ Klina;Brasschaat;1993;0.6066971
11024;2550;Kontich;2584;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;250;0.0967492
11024;2550;Kontich;2584;26;AZ Sint-Maarten;Mechelen;210;0.0812693
11024;2550;Kontich;2584;49;AZ Sint-Jan Brugge - Oostende;Brugge;5;0.001935
11024;2550;Kontich;2584;97;Heilig Hart Ziekenhuis - Lier;Lier;105;0.0406347
11024;2550;Kontich;2584;99;GZA ziekenhuizen;Antwerpen;890;0.3444272
11024;2550;Kontich;2584;104;AZ Rivierenland;Rumst;89;0.0344427
11024;2550;Kontich;2584;143;UZ Brussel;Jette;15;0.005805
11024;2550;Kontich;2584;300;UZ Antwerpen;Edegem;824;0.3188854
11024;2550;Kontich;2584;308;AZ Herentals;Herentals;5;0.001935
11024;2550;Kontich;2584;322;UZ Leuven;Leuven;40;0.0154799
11024;2550;Kontich;2584;392;AZ Zeno;Knokke-Heist;7;0.002709
11024;2550;Kontich;2584;595;AZ Nikolaas;Sint-Niklaas (Oost-Vlaanderen);7;0.002709
11024;2550;Kontich;2584;670;UZ Gent;Gent;12;0.004644
11024;2550;Kontich;2584;682;AZ Monica;Antwerpen;78;0.0301858
11024;2550;Kontich;2584;689;Imelda Ziekenhuis;Bonheiden;9;0.003483
11024;2550;Kontich;2584;710;AZ Klina;Brasschaat;6;0.002322
11025;2547;Lint;982;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;68;0.0692464
11025;2547;Lint;982;26;AZ Sint-Maarten;Mechelen;164;0.1670061
11025;2547;Lint;982;97;Heilig Hart Ziekenhuis - Lier;Lier;291;0.296334
11025;2547;Lint;982;99;GZA ziekenhuizen;Antwerpen;200;0.203666
11025;2547;Lint;982;104;AZ Rivierenland;Rumst;13;0.0132383
11025;2547;Lint;982;300;UZ Antwerpen;Edegem;158;0.1608961
11025;2547;Lint;982;308;AZ Herentals;Herentals;5;0.0050916
11025;2547;Lint;982;322;UZ Leuven;Leuven;22;0.0224033
11025;2547;Lint;982;670;UZ Gent;Gent;6;0.00611
11025;2547;Lint;982;682;AZ Monica;Antwerpen;20;0.0203666
11025;2547;Lint;982;689;Imelda Ziekenhuis;Bonheiden;14;0.0142566
11029;2640;Mortsel;3169;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;508;0.1603029
11029;2640;Mortsel;3169;26;AZ Sint-Maarten;Mechelen;23;0.0072578
11029;2640;Mortsel;3169;49;AZ Sint-Jan Brugge - Oostende;Brugge;5;0.0015778
11029;2640;Mortsel;3169;97;Heilig Hart Ziekenhuis - Lier;Lier;47;0.0148312
11029;2640;Mortsel;3169;99;GZA ziekenhuizen;Antwerpen;1773;0.5594825
11029;2640;Mortsel;3169;104;AZ Rivierenland;Rumst;12;0.0037867
11029;2640;Mortsel;3169;300;UZ Antwerpen;Edegem;492;0.155254
11029;2640;Mortsel;3169;322;UZ Leuven;Leuven;28;0.0088356
11029;2640;Mortsel;3169;403;Cliniques universitaires Saint-Luc;Sint-Lambrechts-Woluwe;9;0.00284
11029;2640;Mortsel;3169;536;AZ Voorkempen;Malle;11;0.0034711
11029;2640;Mortsel;3169;595;AZ Nikolaas;Sint-Niklaas (Oost-Vlaanderen);11;0.0034711
11029;2640;Mortsel;3169;670;UZ Gent;Gent;17;0.0053645
11029;2640;Mortsel;3169;682;AZ Monica;Antwerpen;162;0.0511202
11029;2640;Mortsel;3169;689;Imelda Ziekenhuis;Bonheiden;7;0.0022089
11029;2640;Mortsel;3169;710;AZ Klina;Brasschaat;9;0.00284
11030;2845;Niel;1312;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;159;0.121189
11030;2845;Niel;1312;26;AZ Sint-Maarten;Mechelen;36;0.027439
11030;2845;Niel;1312;99;GZA ziekenhuizen;Antwerpen;180;0.1371951
11030;2845;Niel;1312;104;AZ Rivierenland;Rumst;566;0.4314024
11030;2845;Niel;1312;143;UZ Brussel;Jette;5;0.003811
11030;2845;Niel;1312;300;UZ Antwerpen;Edegem;258;0.1966463
11030;2845;Niel;1312;322;UZ Leuven;Leuven;16;0.0121951
11030;2845;Niel;1312;595;AZ Nikolaas;Sint-Niklaas (Oost-Vlaanderen);15;0.0114329
11030;2845;Niel;1312;670;UZ Gent;Gent;6;0.0045732
11030;2845;Niel;1312;682;AZ Monica;Antwerpen;30;0.0228659
11030;2845;Niel;1312;710;AZ Klina;Brasschaat;10;0.007622
11035;2520;Ranst;2312;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;178;0.0769896
11035;2520;Ranst;2312;26;AZ Sint-Maarten;Mechelen;39;0.0168685
11035;2520;Ranst;2312;63;AZ Turnhout;Turnhout;9;0.0038927
11035;2520;Ranst;2312;97;Heilig Hart Ziekenhuis - Lier;Lier;922;0.3987889
11035;2520;Ranst;2312;99;GZA ziekenhuizen;Antwerpen;163;0.0705017
11035;2520;Ranst;2312;104;AZ Rivierenland;Rumst;7;0.0030277
11035;2520;Ranst;2312;300;UZ Antwerpen;Edegem;275;0.1189446
11035;2520;Ranst;2312;308;AZ Herentals;Herentals;18;0.0077855
11035;2520;Ranst;2312;322;UZ Leuven;Leuven;43;0.0185986
11035;2520;Ranst;2312;536;AZ Voorkempen;Malle;308;0.133218
11035;2520;Ranst;2312;595;AZ Nikolaas;Sint-Niklaas (Oost-Vlaanderen);5;0.0021626
11035;2520;Ranst;2312;670;UZ Gent;Gent;8;0.0034602
11035;2520;Ranst;2312;682;AZ Monica;Antwerpen;264;0.1141869
11035;2520;Ranst;2312;689;Imelda Ziekenhuis;Bonheiden;12;0.0051903
11035;2520;Ranst;2312;710;AZ Klina;Brasschaat;31;0.0134083
11037;2840;Rumst;1936;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;127;0.0655992
11037;2840;Rumst;1936;26;AZ Sint-Maarten;Mechelen;344;0.177686
11037;2840;Rumst;1936;97;Heilig Hart Ziekenhuis - Lier;Lier;35;0.0180785
11037;2840;Rumst;1936;99;GZA ziekenhuizen;Antwerpen;226;0.1167355
11037;2840;Rumst;1936;104;AZ Rivierenland;Rumst;674;0.3481405
11037;2840;Rumst;1936;143;UZ Brussel;Jette;5;0.0025826
11037;2840;Rumst;1936;204;AZ Jan Portaels;Vilvoorde;5;0.0025826
11037;2840;Rumst;1936;300;UZ Antwerpen;Edegem;361;0.1864669
11037;2840;Rumst;1936;322;UZ Leuven;Leuven;35;0.0180785
11037;2840;Rumst;1936;595;AZ Nikolaas;Sint-Niklaas (Oost-Vlaanderen);6;0.0030992
11037;2840;Rumst;1936;682;AZ Monica;Antwerpen;42;0.0216942
11037;2840;Rumst;1936;689;Imelda Ziekenhuis;Bonheiden;34;0.017562
11037;2840;Rumst;1936;710;AZ Klina;Brasschaat;8;0.0041322
11038;2627;Schelle;1018;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;120;0.1178782
11038;2627;Schelle;1018;26;AZ Sint-Maarten;Mechelen;14;0.0137525
11038;2627;Schelle;1018;99;GZA ziekenhuizen;Antwerpen;176;0.172888
11038;2627;Schelle;1018;104;AZ Rivierenland;Rumst;400;0.3929273
11038;2627;Schelle;1018;300;UZ Antwerpen;Edegem;231;0.2269155
11038;2627;Schelle;1018;322;UZ Leuven;Leuven;13;0.0127701
11038;2627;Schelle;1018;682;AZ Monica;Antwerpen;27;0.0265226
11038;2627;Schelle;1018;689;Imelda Ziekenhuis;Bonheiden;7;0.0068762
11038;2627;Schelle;1018;710;AZ Klina;Brasschaat;5;0.0049116
11039;2970;Schilde;2475;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;267;0.1078788
11039;2970;Schilde;2475;26;AZ Sint-Maarten;Mechelen;8;0.0032323
11039;2970;Schilde;2475;63;AZ Turnhout;Turnhout;13;0.0052525
11039;2970;Schilde;2475;97;Heilig Hart Ziekenhuis - Lier;Lier;18;0.0072727
11039;2970;Schilde;2475;99;GZA ziekenhuizen;Antwerpen;196;0.0791919
11039;2970;Schilde;2475;126;Onze-Lieve-Vrouw Ziekenhuis;Aalst (Oost-Vlaanderen);6;0.0024242
11039;2970;Schilde;2475;300;UZ Antwerpen;Edegem;223;0.090101
11039;2970;Schilde;2475;308;AZ Herentals;Herentals;12;0.0048485
11039;2970;Schilde;2475;322;UZ Leuven;Leuven;43;0.0173737
11039;2970;Schilde;2475;392;AZ Zeno;Knokke-Heist;6;0.0024242
11039;2970;Schilde;2475;536;AZ Voorkempen;Malle;1022;0.4129293
11039;2970;Schilde;2475;595;AZ Nikolaas;Sint-Niklaas (Oost-Vlaanderen);6;0.0024242
